iter,CFL,dt_min,dt_avg,R2_rho,R2_rhou,R2_rhov,R2_rhoE,CL,CD,CM
1280,7.2,2.64285e-06,0.00450221,6.4838e-06,4.99921e-06,4.34902e-06,2.12432e-05,3.10965e-16,-0.00374958,-0.000221271
1290,7.2,2.64213e-06,0.00450222,6.60872e-06,5.14047e-06,4.49984e-06,2.13929e-05,4.39076e-15,-0.00246495,-0.000145462
1300,7.2,2.6435e-06,0.00450223,6.69627e-06,5.02041e-06,4.40822e-06,2.18672e-05,6.01276e-15,0.0039995,0.000236019
1310,7.2,2.64336e-06,0.0045022,6.12599e-06,4.96108e-06,4.50553e-06,1.97241e-05,4.16408e-15,0.00349532,0.000206266
1320,7.2,2.64338e-06,0.00450218,6.23251e-06,4.16232e-06,4.45132e-06,2.00704e-05,-3.8189e-15,-0.00102785,-6.06556e-05
1330,7.2,2.64187e-06,0.0045022,6.25024e-06,3.85971e-06,3.63834e-06,2.01815e-05,3.89606e-15,-0.00357671,-0.000211069
1340,7.2,2.64332e-06,0.00450223,5.80633e-06,3.91598e-06,3.72105e-06,1.86347e-05,-4.84482e-15,-0.0019067,-0.000112518
1350,7.2,2.64391e-06,0.00450224,5.43906e-06,3.68439e-06,3.6572e-06,1.74431e-05,2.70869e-16,-0.00160134,-9.44984e-05
1360,7.2,2.64311e-06,0.00450221,5.41913e-06,3.61937e-06,3.89361e-06,1.7349e-05,9.4945e-15,0.00255742,0.000150918
1370,7.2,2.64149e-06,0.00450219,5.27651e-06,3.74092e-06,3.43976e-06,1.64688e-05,7.54228e-15,0.0023433,0.000138283
1380,7.2,2.64234e-06,0.0045022,5.21358e-06,3.60203e-06,3.20333e-06,1.74025e-05,3.37909e-15,-0.000920112,-5.42977e-05
1390,7.2,2.64183e-06,0.00450219,4.25355e-06,3.79928e-06,4.08977e-06,1.37506e-05,-3.91638e-15,0.000566675,3.34407e-05
1400,7.2,2.64313e-06,0.00450222,4.72184e-06,3.55232e-06,3.01604e-06,1.59075e-05,5.5963e-15,0.00261754,0.000154467
1410,7.2,2.64359e-06,0.00450223,4.28789e-06,3.70013e-06,4.38643e-06,1.38269e-05,1.28146e-15,-0.000103974,-6.1357e-06
1420,7.2,2.64248e-06,0.00450221,5.51644e-06,3.05284e-06,2.62442e-06,1.82711e-05,-5.50809e-15,-0.00350369,-0.00020676
1430,7.2,2.64206e-06,0.00450225,4.8604e-06,3.51151e-06,3.50317e-06,1.53729e-05,1.39622e-15,-0.00356759,-0.000210531
1440,7.2,2.64353e-06,0.00450224,5.06954e-06,3.13254e-06,3.19702e-06,1.57905e-05,2.3268e-15,0.000462548,2.72959e-05
1450,7.2,2.64348e-06,0.00450224,5.20619e-06,3.10417e-06,2.8136e-06,1.61437e-05,5.30672e-15,0.00262744,0.000155051
1460,7.2,2.64346e-06,0.00450222,4.9414e-06,3.31442e-06,3.20454e-06,1.53515e-05,-1.74372e-15,0.000917151,5.4123e-05
1470,7.2,2.64259e-06,0.0045022,5.03241e-06,3.26276e-06,3.07735e-06,1.59769e-05,-3.29124e-15,0.0010419,6.14847e-05
1480,7.2,2.64297e-06,0.0045022,4.61239e-06,2.93634e-06,3.4589e-06,1.48588e-05,-1.76439e-15,-0.00121028,-7.1421e-05
1490,7.2,2.64256e-06,0.00450222,4.49688e-06,3.23626e-06,3.3707e-06,1.45392e-05,5.85452e-15,-0.00175394,-0.000103503
1500,7.2,2.64352e-06,0.0045022,4.0011e-06,3.10729e-06,2.74801e-06,1.32279e-05,1.78203e-15,0.00159913,9.43682e-05
1510,7.2,2.6433e-06,0.00450222,4.1063e-06,3.04401e-06,2.87734e-06,1.37613e-05,-5.55995e-16,-0.00119185,-7.03337e-05
1520,7.2,2.64238e-06,0.0045022,3.98967e-06,3.02377e-06,2.90076e-06,1.28522e-05,-2.63741e-16,-0.00246112,-0.000145236
1530,7.2,2.642e-06,0.00450219,4.04247e-06,2.85098e-06,3.78083e-06,1.31343e-05,-3.86345e-15,-0.00110864,-6.54231e-05
1540,7.2,2.64325e-06,0.00450222,4.75817e-06,2.57298e-06,2.78067e-06,1.57371e-05,6.71827e-15,0.00235248,0.000138825
1550,7.2,2.6427e-06,0.0045022,4.26626e-06,3.31583e-06,3.05782e-06,1.36599e-05,2.94036e-16,0.00207622,0.000122522
1560,7.2,2.64348e-06,0.00450222,4.33394e-06,2.98327e-06,2.46526e-06,1.42433e-05,-2.41555e-15,0.00178356,0.000105251
1570,7.2,2.64183e-06,0.0045022,4.29134e-06,2.567e-06,2.73316e-06,1.35985e-05,-5.78288e-15,-0.000862506,-5.08983e-05
1580,7.2,2.64279e-06,0.00450221,4.10619e-06,2.57888e-06,3.38362e-06,1.27552e-05,2.46937e-15,-0.0021903,-0.000129254
1590,7.2,2.64286e-06,0.00450224,4.44507e-06,2.55808e-06,3.00864e-06,1.44007e-05,-2.98509e-15,-0.0028622,-0.000168905
1600,7.2,2.64291e-06,0.00450224,4.24093e-06,2.86034e-06,3.40747e-06,1.34424e-05,4.827e-15,-0.000275646,-1.62664e-05
1610,7.2,2.64314e-06,0.00450221,4.49218e-06,3.30291e-06,2.91761e-06,1.48085e-05,-1.77045e-15,0.00197537,0.000116571
1620,7.2,2.64287e-06,0.00450222,3.53782e-06,3.54086e-06,2.95714e-06,1.16636e-05,-4.28383e-15,-0.000263635,-1.55577e-05
1630,7.2,2.6426e-06,0.0045022,4.13625e-06,3.25471e-06,2.51989e-06,1.44907e-05,1.12439e-14,0.000402932,2.37779e-05
1640,7.2,2.64276e-06,0.00450222,3.64367e-06,3.61952e-06,3.68545e-06,1.24839e-05,-2.48433e-15,0.000782411,4.61717e-05
1650,7.2,2.64385e-06,0.00450223,4.22179e-06,3.34557e-06,3.88298e-06,1.44111e-05,-3.22851e-15,0.00122005,7.19977e-05
1660,7.2,2.64299e-06,0.00450222,4.46577e-06,3.05869e-06,3.12409e-06,1.4703e-05,5.63016e-15,0.000150802,8.89917e-06
1670,7.2,2.64237e-06,0.00450221,4.38981e-06,2.78515e-06,2.2416e-06,1.38251e-05,-6.12325e-15,-0.00155187,-9.15792e-05
1680,7.2,2.64223e-06,0.0045022,4.19989e-06,2.59069e-06,2.52441e-06,1.32642e-05,-5.48564e-15,-0.00183702,-0.000108406
1690,7.2,2.64318e-06,0.00450222,4.14444e-06,2.29333e-06,2.53925e-06,1.29816e-05,-5.51807e-15,-0.0010763,-6.35145e-05
1700,7.2,2.64296e-06,0.00450223,4.05673e-06,2.17127e-06,2.55551e-06,1.29959e-05,5.68683e-15,0.000101014,5.96102e-06
1710,7.2,2.64354e-06,0.0045022,3.6194e-06,2.37327e-06,3.38148e-06,1.19461e-05,3.67491e-15,0.00189869,0.000112046
1720,7.2,2.64291e-06,0.0045022,3.19006e-06,2.88629e-06,3.10238e-06,1.0264e-05,3.89392e-15,0.000268025,1.58167e-05
1730,7.2,2.64249e-06,0.00450222,3.86761e-06,3.07834e-06,2.24332e-06,1.34648e-05,2.82809e-16,-0.00201513,-0.000118917
1740,7.2,2.64268e-06,0.0045022,2.97617e-06,3.50178e-06,2.9895e-06,9.90122e-06,-8.12697e-15,0.000253887,1.49824e-05
1750,7.2,2.6432e-06,0.00450224,3.80193e-06,2.51941e-06,2.1573e-06,1.30227e-05,6.14606e-15,0.0010997,6.48958e-05
1760,7.2,2.64311e-06,0.00450221,3.41496e-06,2.21808e-06,2.94795e-06,1.10101e-05,-1.28966e-15,0.000369041,2.17779e-05
1770,7.2,2.64204e-06,0.0045022,3.60692e-06,2.37666e-06,2.72064e-06,1.14553e-05,-1.10557e-15,-0.00173561,-0.000102422
1780,7.2,2.64269e-06,0.00450221,3.61675e-06,2.17272e-06,2.23616e-06,1.15499e-05,-7.99349e-15,-0.00106239,-6.2694e-05
1790,7.2,2.64239e-06,0.00450222,3.40895e-06,2.4388e-06,1.595e-06,1.06669e-05,5.03567e-15,0.00028602,1.68786e-05
1800,7.2,2.64356e-06,0.00450224,3.45918e-06,2.06373e-06,2.07048e-06,1.12796e-05,-6.54221e-15,0.00186083,0.000109811
1810,7.2,2.64293e-06,0.00450221,3.02782e-06,1.67682e-06,2.67715e-06,9.62584e-06,-2.48166e-15,0.00144387,8.52057e-05
1820,7.2,2.64258e-06,0.0045022,3.11363e-06,1.86187e-06,2.18819e-06,1.01528e-05,-4.1541e-15,-0.000312122,-1.8419e-05
1830,7.2,2.64247e-06,0.00450223,2.92318e-06,2.10181e-06,2.60124e-06,9.78349e-06,-3.69683e-15,-0.0026381,-0.00015568
1840,7.2,2.64318e-06,0.00450223,2.78076e-06,2.51995e-06,2.05006e-06,9.00114e-06,7.10818e-15,-0.0013793,-8.13952e-05
