# Iteration    L2[rho]         L2[rhou]        L2[rhov]        L2[rhoE]        L2_total
# ----------------------------------------------------------------------------------------------------
    1640  3.643674339490e-06  3.619521397344e-06  3.685445499643e-06  1.248394070995e-05  1.399316197357e-05
    1650  4.221785770463e-06  3.345571124268e-06  3.882978006317e-06  1.441112001291e-05  1.586739485433e-05
    1660  4.465773477739e-06  3.058690145986e-06  3.124088193658e-06  1.470296862738e-05  1.597610502166e-05
    1670  4.389810176368e-06  2.785152435425e-06  2.241601277969e-06  1.382509169951e-05  1.493939236590e-05
    1680  4.199893975146e-06  2.590693746856e-06  2.524407311386e-06  1.326416423337e-05  1.437572567128e-05
    1690  4.144440029784e-06  2.293326688063e-06  2.539250110867e-06  1.298160755433e-05  1.405011232264e-05
    1700  4.056730543015e-06  2.171271710901e-06  2.555510575852e-06  1.299585013218e-05  1.402120674202e-05
    1710  3.619402725859e-06  2.373268492620e-06  3.381482451406e-06  1.194605196741e-05  1.314819609708e-05
    1720  3.190059628556e-06  2.886292664220e-06  3.102378281392e-06  1.026400932827e-05  1.155343257517e-05
    1730  3.867609409093e-06  3.078335383544e-06  2.243323146295e-06  1.346476756433e-05  1.451781717667e-05
    1740  2.976170808589e-06  3.501776839035e-06  2.989502224389e-06  9.901224677217e-06  1.131774745127e-05
    1750  3.801926888007e-06  2.519412554745e-06  2.157298182634e-06  1.302270493810e-05  1.396591805205e-05
    1760  3.414956599348e-06  2.218077309952e-06  2.947948539554e-06  1.101006272427e-05  1.210345724628e-05
    1770  3.606916211907e-06  2.376663721248e-06  2.720640679752e-06  1.145525093377e-05  1.254125331327e-05
    1780  3.616751954931e-06  2.172721329451e-06  2.236164954769e-06  1.154985409487e-05  1.249804688728e-05
    1790  3.408950352702e-06  2.438795573466e-06  1.595003372337e-06  1.066692662420e-05  1.157134502641e-05
    1800  3.459180136035e-06  2.063731905056e-06  2.070477819974e-06  1.127963080980e-05  1.215491119663e-05
    1810  3.027824886031e-06  1.676821124851e-06  2.677151696978e-06  9.625840683905e-06  1.057371281555e-05
    1820  3.113627142240e-06  1.861869108739e-06  2.188193072769e-06  1.015280145126e-05  1.100130886719e-05
